"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(계)","교감(남)","교감(여)","교감(계)","수석교사(남)","수석교사(여)","수석교사(계)","정교사(1정)(남)","정교사(1정)(여)","정교사(1정)(계)","정교사(2정)(남)","정교사(2정)(여)","정교사(2정)(계)","특수1정(남)","특수1정(여)","특수1정(계)","특수2정(남)","특수2정(여)","특수2정(계)","준교사(남)","준교사(여)","준교사(계)","실기교사(남)","실기교사(여)","실기교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(계)","보건교사(남)","보건교사(여)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(계)","해당없음(남)","해당없음(여)","해당없음(계)","계(남)","계(여)","계","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 서초구","1165010800","01","S000003511","서울교육대학교부설초등학교","02","국립","N","","0","1","1","1","0","1","0","0","0","21","10","31","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","22","14","36","","","2021"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 종로구","1111016800","01","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","1","1","2","0","1","1","0","0","0","10","21","31","4","6","10","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0","1","1","0","0","0","15","35","50","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000738","서울개일초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","0","33","33","1","13","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","2","49","51","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000741","서울구룡초등학교","02","공립","N","","1","0","1","0","1","1","0","0","0","3","35","38","0","3","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","4","43","47","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010800","01","S010000742","서울논현초등학교","02","공립","N","","0","2","2","0","1","1","0","0","0","1","19","20","0","1","1","0","0","0","0","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","1","28","29","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000743","서울대곡초등학교","02","공립","N","","0","1","1","1","1","2","0","0","0","3","51","54","0","8","8","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","2","2","0","0","0","4","66","70","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011800","01","S010000744","서울대도초등학교","02","공립","N","","0","2","2","0","1","1","0","0","0","2","65","67","2","20","22","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","4","91","95","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000745","서울대모초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","2","42","44","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","3","49","52","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011100","01","S010000746","서울대왕초등학교","02","공립","N","","0","1","1","0","1","1","0","0","0","0","43","43","2","6","8","0","1","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","1","0","0","0","3","56","59","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000747","서울대진초등학교","02","공립","N","","0","1","1","0","1","1","0","0","0","2","15","17","0","3","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","3","22","25","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000748","서울대청초등학교","02","공립","N","","0","1","1","0","2","2","0","0","0","2","9","11","1","3","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","3","18","21","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000749","서울대치초등학교","02","공립","N","","1","0","1","1","1","2","0","0","0","0","56","56","5","16","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0","0","0","7","76","83","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000750","서울대현초등학교","02","공립","N","","0","1","1","0","1","1","0","0","0","1","32","33","0","5","5","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","1","43","44","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000751","서울도곡초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","3","40","43","0","5","5","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","1","0","0","0","4","51","55","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010100","01","S010000752","서울도성초등학교","02","공립","N","","0","3","3","1","0","1","0","0","0","3","72","75","8","18","26","0","1","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","12","98","110","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010600","01","S010000753","서울반원초등학교","02","공립","N","","0","1","1","0","2","2","0","0","0","1","61","62","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0","0","0","1","79","80","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010000754","서울반포초등학교","02","공립","N","","1","0","1","0","1","1","0","0","0","1","34","35","3","9","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","5","46","51","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000755","서울방배초등학교","02","공립","N","","1","0","1","0","1","1","0","0","0","2","42","44","1","5","6","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","4","53","57","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000756","서울방일초등학교","02","공립","N","","1","0","1","0","1","1","0","0","0","3","37","40","1","5","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","5","46","51","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000757","서울방현초등학교","02","공립","N","","0","1","1","0","1","1","0","0","0","0","19","19","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","25","25","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010500","01","S010000758","서울봉은초등학교","02","공립","N","","1","0","1","0","1","1","0","0","0","1","27","28","2","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","4","36","40","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010500","01","S010000759","서울삼릉초등학교","02","공립","N","","0","1","1","0","1","1","0","0","0","0","24","24","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","2","31","33","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000760","서울서래초등학교","02","공립","N","","0","1","1","0","2","2","0","0","0","1","44","45","1","12","13","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","2","63","65","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010000761","서울서원초등학교","02","공립","N","","0","1","1","1","1","2","0","0","0","2","51","53","2","14","16","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","5","71","76","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000762","서울서이초등학교","02","공립","N","","1","0","1","0","2","2","0","0","0","1","40","41","2","17","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","1","0","0","0","4","62","66","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000763","서울서일초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","2","21","23","0","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","1","0","0","0","3","32","35","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000764","서울서초초등학교","02","공립","N","","0","1","1","1","0","1","0","0","0","2","33","35","3","11","14","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","2","2","0","0","0","6","50","56","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011500","01","S010000765","서울수서초등학교","02","공립","N","","0","1","1","0","1","1","0","0","0","1","15","16","0","1","1","0","2","2","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","2","2","0","0","0","2","24","26","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010700","01","S010000766","서울신구초등학교","02","공립","N","","0","2","2","0","0","0","0","0","0","2","27","29","2","4","6","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","4","37","41","2","초","2021"
