key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y,s1,s2,s3,s4
S000003511-2021,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,무,무,무,19.8,2.705863192182411,0,1,0,2.2172638436482086,4.6,2.0,11.5,4.0,4.0,2.0,1.4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,무,무,무,8.681263145010895,0.39813696643335433,1.8460787767655045,29.6,21.1
S000003511-2022,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,무,무,무,19.8,4.518985270049099,0,1,0,2.227659574468085,12.0,11.0,8.0,10.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,무,무,무,9.588618622264717,0.4004757580832163,2.20508532648982,51.1,21.1
S000003511-2023,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,무,무,무,19.200000000000003,5.0019607843137255,0,1,0,2.224183006535948,10.0,10.0,14.0,4.0,6.0,3.0,4.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,무,무,무,9.657378876396987,0.3996948300572123,2.274626508648095,51.1,21.1
S000003511-2024,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,무,무,무,19.200000000000003,4.854098360655737,0,1,0,2.2311475409836063,10.0,8.0,5.0,4.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,무,무,무,9.262354067301546,0.4012580227420545,2.253621873605651,35.1,21.1
S000003514-2021,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,무,무,무,11.3,2.66,1,0,1,4.26,14.0,8.3,17.7,6.0,3.3,1.0,3.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,무,무,시설없음,9.617114796758223,0.7246345801406395,1.8060684222414403,54.1,22.1
S000003514-2022,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,무,무,무,11.7,8.127923211169284,0,0,1,4.637521815008725,19.0,9.0,18.0,7.3,5.0,1.3,2.3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,무,무,시설없음,9.579495311985475,0.7670900659837488,1.5896932524329277,61.99999999999999,22.1
S000003514-2023,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,무,무,무,11.5,8.003780068728522,0,0,1,4.567353951890034,5.3,3.0,17.0,3.0,3.0,2.0,0.6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음,9.959462258607934,1.7594670166278972,1.5780571088401685,34.0,22.1
S000003514-2024,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,무,무,무,11.6,13.159033989266549,0,0,1,4.751162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음,4.498713426192653,1.779194693065007,1.926526217597985,0.1,22.1
S000003540-2021,서울특별시 강남구,S000003540,국립국악고등학교,무,무,무,10.8,6.872009029345373,0,0,0,8.45214446952596,10.0,8.0,5.0,3.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,무,시설없음,무,8.718751395755085,1.067210096273691,1.468196855736148,30.1,16.1
S000003540-2022,서울특별시 강남구,S000003540,국립국악고등학교,무,무,무,10.8,6.49269406392694,0,1,0,8.547488584474886,9.0,9.0,5.0,3.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,무,시설없음,무,9.748945650538367,1.0728187534953912,2.4284515949165884,32.1,16.1
