key,지역,정보공시 학교코드,학교명,교과교실제(지정?운영),자율학교(지정?운영),수준별 수업(운영),전체학생수,연간1인당 보건실이용건수,일반직계,별정직계(2018년이후),기타직계(2019년이후),특수학급 학급당 학생수,순회학급 학급당 학생수,수업교원 1인당 학생수,체육장 개방여부,체육관 개방여부,강당 개방여부,일반교과교실 개방여부,특별교실 개방여부,시청각실 개방여부,수석교사(계),전문상담교사(계),사서교사(계),보건교사(계),영양교사(계),체력 1등급 (%),체력 2등급 (%),체력 3등급 (%),체력 4등급 (%),체력 5등급 (%)
S000003511-2021,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,614.0,1.1,1.0,0.0,10.0,5.0,0.0,19.7,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.05193031012703144,0.38610574860574864,0.42747496346284,0.09856233728155545,0.007537688442211055
S000003511-2022,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,611.0,7.4,1.0,0.0,14.0,5.0,0.0,19.7,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.15813953488372093,0.5162790697674419,0.32558139534883723,0.0,0.0
S000003511-2023,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,612.0,14.8,1.0,0.0,14.0,4.0,0.0,19.1,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.014018691588785047,0.19626168224299065,0.5420560747663551,0.2102803738317757,0.037383177570093455
S000003511-2024,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,610.0,15.6,1.0,0.0,13.0,5.0,0.0,19.1,무,무,무,무,무,무,0.0,0.0,0.0,1.0,1.0,0.07476635514018691,0.5046728971962616,0.3598130841121495,0.06074766355140187,0.0
S000003514-2021,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,1,0,1,625.0,2.3,3.0,0.0,7.0,6.0,0.0,11.2,무,무,시설없음,무,무,무,0.0,0.0,0.0,1.0,1.0,0.07476635514018691,0.5046728971962616,0.3598130841121495,0.06074766355140187,0.0
S000003514-2022,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,573.0,7.3,3.0,0.0,7.0,3.0,0.0,11.6,무,무,시설없음,무,무,무,0.0,0.0,0.0,2.0,1.0,0.05363321799307959,0.38235294117647056,0.4532871972318339,0.10899653979238755,0.0017301038062283738
S000003514-2023,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,582.0,12.9,3.0,0.0,12.0,6.0,0.0,11.4,유,무,시설없음,무,무,무,0.0,1.0,0.0,2.0,1.0,0.09075342465753425,0.4537671232876712,0.3493150684931507,0.10102739726027397,0.005136986301369863
S000003514-2024,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,1,559.0,12.7,3.0,0.0,13.0,6.0,0.0,11.5,유,무,시설없음,무,무,무,0.0,1.0,0.0,2.0,1.0,0.08258527827648116,0.4578096947935368,0.38420107719928187,0.07001795332136446,0.005385996409335727
S000003540-2021,서울특별시 강남구,S000003540,국립국악고등학교,0,0,0,443.0,1.2,16.0,0.0,33.0,0.0,0.0,10.7,무,시설없음,무,무,무,무,0.0,1.0,0.0,0.0,1.0,0.08258527827648116,0.4578096947935368,0.38420107719928187,0.07001795332136446,0.005385996409335727
S000003540-2022,서울특별시 강남구,S000003540,국립국악고등학교,0,1,0,438.0,3.2,16.0,0.0,32.0,0.0,0.0,10.7,무,시설없음,무,무,무,무,0.0,1.0,0.0,0.0,1.0,0.02517162471395881,0.47368421052631576,0.448512585812357,0.05034324942791762,0.002288329519450801
S000003540-2023,서울특별시 강남구,S000003540,국립국악고등학교,0,1,0,437.0,4.7,16.0,0.0,34.0,0.0,0.0,10.1,무,시설없음,무,무,무,무,0.0,2.0,0.0,0.0,1.0,0.018604651162790697,0.3581395348837209,0.4604651162790698,0.1558139534883721,0.0069767441860465115
S000003540-2024,서울특별시 강남구,S000003540,국립국악고등학교,1,1,0,436.0,3.9,14.0,0.0,30.0,0.0,0.0,10.7,무,시설없음,무,무,무,무,0.0,2.0,0.0,0.0,1.0,0.018691588785046728,0.3878504672897196,0.4672897196261682,0.11214953271028037,0.014018691588785047
