학교코드_공시연도,지역,정보공시 학교코드,학교명,지도교사수-동아리?학생자치활동,지도교사수-또래활동,지도교사수-교육주간 활동,지도교사수-기타 학교폭력 예방활동,참여학생수-동아리?학생자치활동,참여학생수-또래활동,참여학생수-교육주간 활동,참여학생수-기타 학교폭력 예방활동,전체학생수_안전교육 계획 및 실시현황,생활안전교육 시간(단위활동차시)-합계,교통안전교육 시간(단위활동차시)-합계,폭력예방및신변보호교육 시간(단위활동차시)-합계,약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후),지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후),직업안전교육 시간(단위활동차시)-합계,응급처치교육 시간(단위활동차시)-합계,주 출입구 접근로 설치여부,장애인 전용 주차구역 지정여부,주 출입구 높이차이 제거여부,출입구(문) 설치유무,복도,계단/승강기/경사로/휠체어리프트 유무,장애인용 대변기 설치여부,장애인용 소변기 설치여부,점자블록 설치여부,유도 및 안내설비 설치여부,경보 및 피난설비 설치여부
S000003511-2021,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,0,12,0,8,0,330,608,4.6,2,11.5,4,4,2,1.4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003511-2022,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,0,1,10,36,0,8,600,600,606,12,11,8,10,6,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003511-2023,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,5,36,36,0,52,610,610,0,607,10,10,14,4,6,3,4,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003511-2024,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,2,36,36,0,52,610,610,0,606,10,8,5,4,4,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
S000003514-2021,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,0,0,0,0,0,618,14,8.3,17.7,6,3.3,1,3.7,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003514-2022,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,0,0,0,0,0,567,19,9,18,7.3,5,1.3,2.3,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003514-2023,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,0,0,0,0,0,579,5.3,3,17,3,3,2,0.6,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003514-2024,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003540-2021,서울특별시 강남구,S000003540,국립국악고등학교,15,1,0,10,36,12,0,40,443,10,8,5,3,2,1,1,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S000003540-2022,서울특별시 강남구,S000003540,국립국악고등학교,3,10,35,8,34,35,438,43,438,9,9,5,3,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치
S000003540-2023,서울특별시 강남구,S000003540,국립국악고등학교,3,10,35,8,30,36,438,46,437,8,8,5,5,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치
S000003540-2024,서울특별시 강남구,S000003540,국립국악고등학교,3,10,35,8,30,35,438,43,436,8,8,5,5,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치
S000003542-2021,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,0,0,30,0,0,346,15,8,31,10,0,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003542-2022,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,1,0,29,0,120,352,15,10,17,10,2,2,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003542-2023,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,3,0,4,0,95,334,10,10,10,10,4,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
S000003542-2024,서울특별시 강남구,S000003541,국립국악중학교,0,1,0,3,0,4,0,104,309,10,10,10,5,2,3,2,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
