key,상담실적(내부상담전문가),상담실적(외부상담전문가),교수학습공간 일반교실,교수학습공간 교과교실,교수학습공간 수준별교실,교수학습공간 특별교실,학생자율동아리 동아리수,창의적체험활동동아리 동아리수
S000003511-2021,280.0,0.0,28.0,1.0,0.0,12.0,8.0,8.0
S000003511-2022,265.0,0.0,28.0,1.0,0.0,12.0,0.0,27.0
S000003511-2023,750.0,0.0,28.0,1.0,0.0,12.0,0.0,30.0
S000003511-2024,750.0,0.0,28.0,1.0,0.0,12.0,0.0,29.0
S000003514-2021,252.0,20.0,24.0,5.0,0.0,21.0,8.0,8.0
S000003514-2022,554.0,59.0,24.0,5.0,0.0,21.0,6.0,40.0
S000003514-2023,315.0,27.0,24.0,5.0,0.0,21.0,3.0,43.0
S000003514-2024,461.0,14.0,24.0,5.0,0.0,21.0,3.0,70.0
S000003540-2021,437.0,0.0,15.0,33.0,0.0,4.0,0.0,30.0
S000003540-2022,572.0,0.0,15.0,33.0,0.0,4.0,0.0,28.0
S000003540-2023,370.0,0.0,15.0,33.0,0.0,4.0,0.0,35.0
S000003540-2024,263.0,5.0,15.0,33.0,0.0,4.0,0.0,32.0
S000003542-2021,0.0,0.0,12.0,32.0,0.0,3.0,8.0,8.0
S000003545-2021,0.0,0.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003545-2022,50.0,20.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003545-2024,47.0,25.0,53.0,10.0,0.0,10.0,8.0,8.0
S000003553-2021,0.0,0.0,35.0,0.0,0.0,15.0,8.0,8.0
S000003553-2024,0.0,0.0,35.0,0.0,0.0,15.0,8.0,8.0
S000003561-2021,668.0,0.0,50.0,11.0,2.0,21.0,50.0,57.0
S000003561-2022,678.0,41.0,50.0,11.0,2.0,21.0,14.0,49.0
S000003561-2023,547.0,57.0,50.0,11.0,2.0,21.0,0.0,43.0
S000003561-2024,773.0,22.0,50.0,11.0,2.0,21.0,0.0,47.0
S000003562-2021,388.0,37.0,0.0,29.0,0.0,20.0,8.0,8.0
S000003562-2022,364.0,0.0,0.0,29.0,0.0,12.0,12.0,54.0
S000003562-2023,329.0,17.0,19.0,3.0,0.0,17.0,20.0,59.0
S000003562-2024,391.0,14.0,19.0,11.0,0.0,17.0,22.0,62.0
S000003563-2021,171.0,0.0,33.0,1.0,0.0,2.0,8.0,8.0
S000003563-2022,500.0,0.0,33.0,1.0,0.0,2.0,0.0,26.0
S000003563-2023,333.0,19.0,33.0,1.0,0.0,2.0,2.0,26.0
S000003563-2024,333.0,19.0,33.0,1.0,0.0,2.0,3.0,26.0
S000003610-2021,152.0,0.0,42.0,6.0,0.0,28.0,8.0,8.0
S000003610-2022,0.0,0.0,42.0,6.0,0.0,28.0,8.0,8.0
S000005401-2021,103.0,0.0,18.0,0.0,0.0,49.0,7.0,34.0
S000005401-2022,326.0,6.0,18.0,0.0,0.0,49.0,5.0,27.0
S000005401-2023,504.0,3.0,18.0,0.0,0.0,49.0,0.0,31.0
S000005401-2024,461.0,4.0,18.0,0.0,0.0,49.0,0.0,36.0
S000005402-2021,0.0,0.0,9.0,0.0,0.0,19.0,8.0,8.0
S000005402-2024,0.0,0.0,9.0,1.0,0.0,19.0,8.0,8.0
S010000370-2021,509.0,0.0,33.0,3.0,1.0,8.0,28.0,42.0
S010000370-2022,790.0,0.0,33.0,3.0,1.0,8.0,8.0,43.0
S010000370-2023,890.0,0.0,30.0,3.0,1.0,8.0,1.0,38.0
S010000370-2024,920.0,18.0,30.0,3.0,1.0,8.0,0.0,40.0
S010000371-2021,183.0,45.0,24.0,0.0,0.0,11.0,53.0,30.0
S010000371-2022,447.0,47.0,24.0,0.0,0.0,10.0,29.0,22.0
S010000371-2023,698.0,45.0,24.0,3.0,0.0,7.0,0.0,30.0
S010000371-2024,822.0,50.0,24.0,3.0,0.0,7.0,0.0,30.0
S010000372-2021,192.0,0.0,36.0,6.0,0.0,3.0,5.0,53.0
S010000372-2022,200.0,50.0,36.0,0.0,4.0,12.0,1.0,50.0
S010000372-2023,494.0,73.0,35.0,0.0,4.0,12.0,1.0,53.0
S010000372-2024,312.0,28.0,35.0,0.0,4.0,12.0,0.0,54.0
S010000373-2021,356.0,2.0,31.0,10.0,0.0,7.0,25.0,38.0
S010000373-2022,451.0,39.0,31.0,10.0,0.0,7.0,4.0,40.0
S010000373-2023,379.0,23.0,31.0,10.0,0.0,7.0,2.0,39.0
S010000373-2024,540.0,127.0,31.0,10.0,0.0,7.0,0.0,39.0
S010000374-2021,462.0,1.0,41.0,6.0,0.0,9.0,77.0,52.0
S010000374-2022,527.0,0.0,38.0,8.0,0.0,9.0,36.0,54.0
S010000374-2023,535.0,0.0,38.0,8.0,0.0,9.0,0.0,54.0
S010000374-2024,375.0,1.0,38.0,8.0,0.0,9.0,0.0,53.0
S010000375-2021,270.0,0.0,46.0,3.0,0.0,13.0,71.0,53.0
S010000375-2022,650.0,0.0,46.0,3.0,0.0,13.0,0.0,55.0
S010000375-2023,498.0,22.0,46.0,3.0,0.0,13.0,69.0,63.0
S010000375-2024,565.0,29.0,46.0,3.0,0.0,13.0,0.0,58.0
S010000376-2021,426.0,0.0,42.0,16.0,1.0,5.0,35.0,55.0
S010000376-2022,415.0,0.0,42.0,16.0,1.0,5.0,9.0,53.0
S010000376-2023,483.0,0.0,42.0,16.0,1.0,5.0,0.0,52.0
S010000376-2024,394.0,40.0,42.0,16.0,1.0,5.0,0.0,59.0
S010000377-2021,361.0,11.0,26.0,7.0,0.0,10.0,27.0,37.0
S010000377-2022,294.0,18.0,26.0,7.0,0.0,10.0,10.0,54.0
S010000377-2023,556.0,5.0,25.0,9.0,0.0,12.0,0.0,36.0
S010000377-2024,423.0,0.0,24.0,9.0,0.0,13.0,0.0,42.0
S010000378-2021,130.0,0.0,23.0,7.0,1.0,8.0,18.0,36.0
S010000378-2022,212.0,15.0,24.0,5.0,3.0,7.0,2.0,38.0
S010000378-2023,250.0,1.0,24.0,5.0,2.0,7.0,0.0,38.0
S010000378-2024,208.0,19.0,24.0,0.0,0.0,7.0,0.0,41.0
S010000379-2021,199.0,21.0,31.0,22.0,1.0,10.0,22.0,57.0
S010000379-2022,274.0,46.0,31.0,22.0,1.0,10.0,9.0,51.0
S010000379-2023,373.0,25.0,31.0,22.0,1.0,10.0,0.0,53.0
S010000379-2024,278.0,32.0,31.0,22.0,1.0,10.0,0.0,47.0
S010000380-2021,116.0,12.0,24.0,7.0,0.0,8.0,41.0,42.0
S010000380-2022,221.0,44.0,24.0,7.0,0.0,8.0,19.0,41.0
S010000380-2023,442.0,4.0,24.0,7.0,0.0,8.0,0.0,39.0
S010000380-2024,480.0,2.0,24.0,7.0,0.0,8.0,0.0,39.0
S010000381-2021,150.0,0.0,23.0,7.0,0.0,6.0,38.0,41.0
S010000381-2022,208.0,33.0,23.0,7.0,0.0,6.0,30.0,43.0
S010000381-2023,290.0,7.0,23.0,7.0,0.0,6.0,18.0,43.0
S010000381-2024,244.0,0.0,23.0,7.0,0.0,6.0,13.0,46.0
S010000382-2021,295.0,22.0,27.0,5.0,4.0,6.0,19.0,42.0
S010000382-2022,531.0,0.0,27.0,5.0,4.0,6.0,12.0,43.0
S010000382-2023,270.0,9.0,27.0,5.0,4.0,6.0,9.0,37.0
S010000382-2024,332.0,60.0,27.0,5.0,4.0,6.0,8.0,37.0
S010000383-2021,516.0,87.0,43.0,7.0,9.0,8.0,31.0,52.0
S010000383-2022,663.0,19.0,43.0,7.0,9.0,8.0,5.0,60.0
S010000383-2023,590.0,97.0,43.0,7.0,9.0,8.0,10.0,67.0
S010000383-2024,364.0,52.0,43.0,7.0,9.0,8.0,7.0,61.0
S010000384-2021,314.0,0.0,44.0,0.0,0.0,13.0,25.0,44.0
S010000384-2022,432.0,0.0,44.0,0.0,0.0,13.0,1.0,50.0
S010000384-2023,492.0,0.0,44.0,0.0,0.0,13.0,1.0,63.0
S010000384-2024,565.0,15.0,44.0,0.0,0.0,13.0,28.0,60.0
S010000385-2021,318.0,71.0,41.0,10.0,0.0,14.0,42.0,41.0
S010000385-2022,287.0,56.0,41.0,10.0,0.0,14.0,18.0,40.0
S010000385-2023,211.0,6.0,41.0,10.0,0.0,14.0,1.0,38.0
S010000385-2024,236.0,5.0,34.0,12.0,0.0,14.0,1.0,33.0
S010000386-2021,413.0,0.0,10.0,37.0,0.0,5.0,34.0,55.0
S010000386-2022,373.0,5.0,10.0,37.0,0.0,5.0,0.0,56.0
S010000386-2023,319.0,0.0,10.0,37.0,0.0,5.0,0.0,59.0
S010000386-2024,302.0,0.0,10.0,37.0,0.0,5.0,1.0,58.0
S010000387-2021,398.0,10.0,27.0,11.0,1.0,2.0,46.0,55.0
S010000387-2022,399.0,6.0,27.0,11.0,1.0,2.0,16.0,55.0
S010000387-2023,380.0,8.0,27.0,11.0,1.0,2.0,10.0,54.0
S010000387-2024,420.0,14.0,27.0,11.0,1.0,2.0,6.0,55.0
S010000388-2021,405.0,12.0,32.0,5.0,0.0,6.0,47.0,48.0
S010000388-2022,448.0,30.0,32.0,5.0,0.0,6.0,12.0,47.0
S010000388-2023,461.0,71.0,32.0,5.0,0.0,6.0,0.0,48.0
S010000388-2024,531.0,29.0,32.0,5.0,0.0,6.0,0.0,51.0
S010000389-2021,492.0,30.0,27.0,6.0,0.0,7.0,32.0,43.0
S010000389-2022,507.0,17.0,27.0,6.0,0.0,7.0,11.0,41.0
S010000389-2023,463.0,12.0,27.0,6.0,0.0,7.0,0.0,47.0
S010000389-2024,577.0,8.0,27.0,6.0,0.0,7.0,0.0,47.0
S010000390-2021,495.0,34.0,32.0,0.0,4.0,12.0,40.0,48.0
S010000390-2022,667.0,66.0,32.0,0.0,4.0,12.0,12.0,48.0
S010000390-2023,790.0,70.0,32.0,0.0,4.0,12.0,0.0,46.0
S010000390-2024,572.0,52.0,32.0,0.0,4.0,12.0,0.0,40.0
S010000391-2021,456.0,0.0,43.0,6.0,0.0,12.0,40.0,72.0
S010000391-2022,936.0,25.0,42.0,6.0,0.0,13.0,7.0,66.0
S010000391-2023,578.0,34.0,41.0,0.0,0.0,15.0,0.0,72.0
S010000391-2024,613.0,22.0,41.0,0.0,0.0,15.0,0.0,72.0
S010000392-2021,216.0,69.0,39.0,7.0,0.0,3.0,75.0,55.0
S010000392-2022,195.0,166.0,39.0,7.0,0.0,4.0,43.0,60.0
S010000392-2023,416.0,123.0,39.0,7.0,0.0,4.0,0.0,61.0
S010000392-2024,399.0,91.0,39.0,7.0,0.0,4.0,1.0,59.0
S010000393-2021,83.0,25.0,29.0,1.0,9.0,7.0,44.0,48.0
S010000393-2022,172.0,4.0,45.0,0.0,7.0,9.0,12.0,47.0
S010000393-2023,148.0,5.0,45.0,0.0,7.0,9.0,0.0,51.0
