RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
197003,20231108,M,20대,서울특별시,300이상500만원 미만,8,15,70,5.00000,80.00000,5.00000,10.00000,0.00000
337589,20231108,M,20대,서울특별시,500이상700만원 미만,4,10,40,60.00000,20.00000,20.00000,0.00000,0.00000
349700,20231108,M,20대,전라남도,700만원 이상,2,0,10,0.00000,0.00000,80.00000,20.00000,0.00000
366181,20231108,M,20대,서울특별시,500이상700만원 미만,6,7,44,45.00000,5.00000,25.00000,25.00000,0.00000
368740,20231108,M,20대,서울특별시,300이상500만원 미만,6,15,60,10.00000,20.00000,20.00000,50.00000,0.00000
369464,20231108,M,20대,충청남도,300만원 미만,2,6,22,50.00000,30.00000,10.00000,10.00000,0.00000
369661,20231108,M,20대,경기도,300이상500만원 미만,3,8,31,20.00000,40.00000,30.00000,10.00000,0.00000
381818,20231108,M,20대,전라북도,300이상500만원 미만,6,4,38,20.00000,30.00000,10.00000,40.00000,0.00000
422095,20231108,M,20대,서울특별시,300이상500만원 미만,2,4,18,40.00000,0.00000,50.00000,10.00000,0.00000
422345,20231108,M,20대,서울특별시,700만원 이상,4,18,56,40.00000,10.00000,20.00000,30.00000,0.00000
425564,20231108,M,20대,대구광역시,300이상500만원 미만,12,12,84,50.00000,15.00000,15.00000,20.00000,0.00000
426604,20231108,M,20대,대전광역시,500이상700만원 미만,1,2,9,30.00000,10.00000,10.00000,50.00000,0.00000
429086,20231108,M,20대,대구광역시,700만원 이상,2,2,14,100.00000,0.00000,0.00000,0.00000,0.00000
433486,20231108,M,20대,경기도,300이상500만원 미만,9,9,63,80.00000,0.00000,5.00000,15.00000,0.00000
435483,20231108,M,20대,경기도,무응답,2,10,30,70.00000,20.00000,5.00000,5.00000,0.00000
445957,20231108,M,20대,인천광역시,500이상700만원 미만,6,8,46,30.00000,40.00000,20.00000,10.00000,0.00000
446951,20231108,M,20대,대전광역시,300만원 미만,1,1,7,10.00000,10.00000,10.00000,70.00000,0.00000
458943,20231108,M,20대,경기도,300만원 미만,6,14,58,40.00000,30.00000,25.00000,5.00000,0.00000
461535,20231108,M,20대,경기도,500이상700만원 미만,6,8,46,90.00000,5.00000,0.00000,5.00000,0.00000
461986,20231108,M,20대,대전광역시,무응답,3,5,25,10.00000,50.00000,10.00000,30.00000,0.00000
462061,20231108,M,20대,경기도,700만원 이상,4,6,32,15.00000,40.00000,15.00000,30.00000,0.00000
463088,20231108,M,20대,서울특별시,700만원 이상,3,6,27,10.00000,50.00000,10.00000,30.00000,0.00000
463998,20231108,M,20대,서울특별시,300이상500만원 미만,2,5,20,25.00000,20.00000,25.00000,25.00000,5.00000
464160,20231108,M,20대,부산광역시,300만원 미만,3,5,25,9.00000,12.00000,16.00000,58.00000,5.00000
466726,20231108,M,20대,경기도,300이상500만원 미만,1,3,11,20.00000,10.00000,10.00000,60.00000,0.00000
466952,20231108,M,20대,경기도,300이상500만원 미만,10,0,50,100.00000,0.00000,0.00000,0.00000,0.00000
467666,20231108,M,20대,부산광역시,300만원 미만,2,7,24,100.00000,0.00000,0.00000,0.00000,0.00000
468266,20231108,M,20대,서울특별시,500이상700만원 미만,2,10,30,50.00000,20.00000,10.00000,20.00000,0.00000
469561,20231108,M,20대,인천광역시,300만원 미만,2,6,22,40.00000,60.00000,0.00000,0.00000,0.00000
469622,20231108,M,20대,경상북도,300이상500만원 미만,4,8,36,50.00000,0.00000,50.00000,0.00000,0.00000
