word,count,문의유형
누적되어,1,코드1
부호가,1,코드1
제곱근을,1,코드1
풀고싶었는데,1,코드1
아직,5,코드1
positems,2,코드1
따서,1,코드1
차원의,2,코드1
문항과,1,코드1
만들기,8,코드1
방문처리,2,코드1
상한선을,1,코드1
단계의,2,코드1
있지만,4,코드1
나는지,3,코드1
괜찮은,1,코드1
초점을,1,코드1
이다,1,코드1
최솟값을,4,코드1
fn,2,코드1
값들,1,코드1
정해져,3,코드1
못한,6,코드1
결과는,7,코드1
작동하고,1,코드1
않은데,2,코드1
답을,3,코드1
없어서,2,코드1
부분도,1,코드1
이상이면,3,코드1
민정이의,1,코드1
틀렸는지,1,코드1
입력값,12,코드1
안갑니다,2,코드1
다신,1,코드1
남기고,2,코드1
만족하는,4,코드1
알기,1,코드1
적을,2,코드1
나오지,7,코드1
거라면,1,코드1
모순이,1,코드1
조건으로,2,코드1
작아도,1,코드1
없는지,3,코드1
강우동,8,코드1
내부,1,코드1
써봤지만,1,코드1
걸처,1,코드1
x는,2,코드1
재질문드립니다,1,코드1
확인했는데,1,코드1
값을,54,코드1
위한,2,코드1
멀거나,1,코드1
for문의,1,코드1
언어,1,코드1
복도의,1,코드1
소수끼리,1,코드1
중복요소,2,코드1
최대공약수,4,코드1
프린트문을,1,코드1
강의에서,1,코드1
세워서,1,코드1
코드를,75,코드1
설정할,1,코드1
RB,1,코드1
철수,2,코드1
가방의,1,코드1
구하는,9,코드1
실습파일,1,코드1
nummin,1,코드1
일부만,1,코드1
같고,5,코드1
출력값이,7,코드1
미리,2,코드1
작성해보았는데,2,코드1
넣었습니다,4,코드1
발생이유를,1,코드1
경우에도,1,코드1
낮고,2,코드1
보이고,1,코드1
재귀,7,코드1
가능하게,1,코드1
이거가,1,코드1
중복요소제거,1,코드1
알기론,1,코드1
싶음과,1,코드1
걱정이,1,코드1
아래의,3,코드1
문제와,4,코드1
가져와,3,코드1
밖에,3,코드1
드려도,1,코드1
지문이,1,코드1
단순히,2,코드1
증가시켜,1,코드1
생긴다는,1,코드1
Enter를,2,코드1
분류를,1,코드1
정의가,1,코드1
aupper,2,코드1
OOOXOOOX,1,코드1
초록색,3,코드1
요일이,2,코드1
나면,1,코드1
하나는,4,코드1
내려오면서,1,코드1
배우던,1,코드1
말씀해주셔서,1,코드1
ABB와,1,코드1
출력해봤는데,1,코드1
답글을,1,코드1
선정해야,1,코드1
di,3,코드1
gcappend,1,코드1
아이와,1,코드1
써야하는,2,코드1
cx,2,코드1
이용해야,1,코드1
퇴장,1,코드1
찾을,4,코드1
써서,4,코드1
비교하는,2,코드1
f최대값,1,코드1
distnappend,1,코드1
처음으로,1,코드1
